experiment,condition,K,DNI,R,baseline_org
noise,0.01,0.300000,1.159083,0.925765,6.524241
noise,0.01,0.500000,0.990605,0.967780,6.559418
noise,0.01,0.800000,1.228712,0.989261,6.764865
noise,0.01,1.000000,1.100649,0.991446,6.696342
noise,0.02,0.000000,-0.159709,0.304188,6.437532
noise,0.02,0.001000,0.036730,0.329048,6.432862
noise,0.02,0.005000,-0.422145,0.238766,6.430875
noise,0.02,0.010000,0.517049,0.355288,6.438664
noise,0.02,0.020000,-0.583676,0.437680,6.486378
noise,0.02,0.030000,-0.131606,0.262195,6.411089
noise,0.02,0.050000,-0.603124,0.332039,6.456955
noise,0.02,0.070000,0.028553,0.320941,6.468464
noise,0.02,0.100000,0.210042,0.347807,6.387683
noise,0.02,0.150000,0.196330,0.439424,6.420381
noise,0.02,0.200000,0.749621,0.748882,6.515800
noise,0.02,0.300000,1.169416,0.926119,6.514399
noise,0.02,0.500000,0.987725,0.967660,6.549444
noise,0.02,0.800000,1.224259,0.989160,6.743392
noise,0.02,1.000000,1.091722,0.991260,6.682646
noise,0.05,0.000000,-0.133552,0.307201,6.292393
noise,0.05,0.001000,0.034773,0.337343,6.340117
noise,0.05,0.005000,-0.305570,0.250916,6.289114
noise,0.05,0.010000,0.444185,0.332848,6.301758
noise,0.05,0.020000,-0.507913,0.427529,6.299071
noise,0.05,0.030000,-0.020942,0.281647,6.313202
noise,0.05,0.050000,-0.454993,0.317761,6.274736
noise,0.05,0.070000,0.209822,0.338902,6.309332
noise,0.05,0.100000,0.106282,0.309459,6.313114
noise,0.05,0.150000,0.576369,0.492057,6.260479
noise,0.05,0.200000,0.765411,0.750074,6.396559
noise,0.05,0.300000,1.200427,0.926597,6.436622
noise,0.05,0.500000,0.977009,0.966953,6.486221
noise,0.05,0.800000,1.210441,0.988680,6.607587
noise,0.05,1.000000,1.064118,0.990498,6.598268
noise,0.1,0.000000,-0.208929,0.310359,5.754320
noise,0.1,0.001000,-0.155002,0.346051,5.910714
noise,0.1,0.005000,-0.394168,0.259062,5.770796
noise,0.1,0.010000,0.153198,0.288575,5.778000
noise,0.1,0.020000,0.514913,0.406573,5.681172
noise,0.1,0.030000,0.066642,0.307737,5.886999
noise,0.1,0.050000,-0.446449,0.300171,5.715851
noise,0.1,0.070000,0.434016,0.350700,5.695832
noise,0.1,0.100000,-0.113246,0.390411,5.971600
noise,0.1,0.150000,0.428633,0.405132,5.755085
noise,0.1,0.200000,0.961625,0.739425,5.913384
noise,0.1,0.300000,1.225210,0.923711,6.179105
noise,0.1,0.500000,0.953147,0.964796,6.147735
noise,0.1,0.800000,1.189410,0.987293,6.048996
noise,0.1,1.000000,1.021364,0.988553,6.275376
noise,0.2,0.000000,-0.388498,0.295125,4.609313
noise,0.2,0.001000,-0.233147,0.374379,4.799447
noise,0.2,0.005000,-0.185054,0.242867,4.711220
noise,0.2,0.010000,-0.114818,0.238519,4.667144
noise,0.2,0.020000,0.347329,0.306807,4.528413
noise,0.2,0.030000,-0.341560,0.353277,4.812831
noise,0.2,0.050000,0.182825,0.384770,4.506241
noise,0.2,0.070000,0.531757,0.279514,4.622711
noise,0.2,0.100000,0.216627,0.333015,4.908877
noise,0.2,0.150000,0.492853,0.480664,4.760730
noise,0.2,0.200000,0.380296,0.657142,4.380625
noise,0.2,0.300000,1.123421,0.896426,4.991003
noise,0.2,0.500000,0.909653,0.956160,4.763824
noise,0.2,0.800000,1.147072,0.982162,4.407590
noise,0.2,1.000000,0.948010,0.981837,5.048385
size,4,0.000000,0.955791,0.474161,2.740289
size,4,0.001000,0.067761,0.301481,2.669975
size,4,0.005000,-0.272042,0.500213,2.683670
size,4,0.010000,-0.014775,0.388924,2.789568
size,4,0.020000,-0.437297,0.478085,2.773423
size,4,0.030000,-0.072000,0.447377,2.717783
size,4,0.050000,-0.784672,0.724197,2.738997
size,4,0.070000,0.569879,0.604415,2.844670
size,4,0.100000,1.423802,0.661740,2.713770
size,4,0.150000,0.727549,0.964098,2.853565
size,4,0.200000,1.186772,0.850574,2.804438
size,4,0.300000,1.231028,0.935464,2.738926
size,4,0.500000,0.939739,0.984831,2.853323
size,4,0.800000,0.898339,0.993988,2.917707
size,4,1.000000,0.818765,0.997799,2.922964
size,6,0.000000,-0.047361,0.335855,4.600352
size,6,0.001000,0.786308,0.418270,4.542089
size,6,0.005000,-0.176819,0.424989,4.474993
size,6,0.010000,-0.321239,0.289216,4.675745
size,6,0.020000,0.147455,0.471831,4.633597
size,6,0.030000,-0.180014,0.405266,4.616279
size,6,0.050000,0.125081,0.590188,4.507595
